Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 12W,MLUBEL03,MLUBEL03,Rumah tangga,PCS,LUBY,Area 04,tidak,49914,85000,0,,0,0,0,5,,,1,,,,,,,,,0,0
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 15W,MLUBEL04,MLUBEL04,Rumah tangga,PCS,LUBY,Area 04,tidak,61005,100000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 5W,MLUBEL01,MLUBEL01,Rumah tangga,PCS,LUBY,Area 04,tidak,31796,55000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 9W,MLUBEL02,MLUBEL02,Rumah tangga,PCS,LUBY,Area 04,tidak,43444,75000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
ADAPTOR BOR KE GERINDA XENON,MADGRDX,MNOADA01,Alat teknik,PCS,,,ya,8500,12000,0,,0,8,0,5,,,1,,,,,,,,,0,0
ADES 600ML,ADES600,ADES600,Minuman,PCS,,,tidak,1834,3000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"AFDUNER BOTOL 600ML ",AFDUB600,AFDU600,Cat,BTL,,,ya,11500,16000,0,,0,25,25,5,,,1,,,,,,,,,0,0
AFUR BCP PVC,MNOAFU02,MNOAFU02,Umum,PCS,,Area 03,tidak,0,20000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
AFUR BCP STAINLESS,MNOAFU01,MNOAFU01,Umum,PCS,,Area 03,tidak,0,30000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
AIR BLOW GUN BIASA,MNOAIR01,MNOAIR01,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,1,3,,,1,,,,,,,,,0,0
AIR BLOW GUN TEKIRO 5”,MTEAIR02,MTEAIR02,Alat teknik,PCS,TEKIRO,Area 02,ya,75000,90000,0,,0,5,6,3,,,1,,,,,,,,,0,0
AIR CHUCK TEKIRO,MTEAIR01,MTEAIR01,Alat teknik,PCS,TEKIRO,Area 02,ya,40700,55000,0,,0,6,6,3,,,1,,,,,,,,,0,0
AIR DUSTER HASSTON 1+3 0160-130,MHAAIR01,MHAAIR01,Alat teknik,PCS,HASSTON,Area 02,tidak,34000,52000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT CABUT PIPA PATAH HASSTON,MHAALA01,MHAALA01,Alat teknik,PCS,HASSTON,Area 02,tidak,0,30000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
ALAT PENGISI ANGIN BAN 3 IN 1 HASSTON,MHAALA02,MHAALA02,Alat teknik,PCS,HASSTON,Area 02,tidak,85700,105000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT PENGISI BAN TG-2 XENON,MXEALA01,MXEALA01,Alat tukang,PCS,XENON,,tidak,0,0,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT POTONG GRANIT 600MM HIOSHI,APTGHIO,APTGHIO,Power tools,PCS,,,tidak,0,1300000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT POTONG GRANIT 600MM MODERN,MMOALA02,MMOALA02,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,1050000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ALAT POTONG KACA CAMEL,MCAALA01,MCAALA01,Alat tukang,PCS,CAMEL,,tidak,0,30000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT POTONG KACA TC-59 TOYO,PTKC TC59,MTOALA01,Umum,PCS,TOYO,,tidak,0,11400,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT POTONG PIPA PVC STRAUSS,PTPP STRS,MSTALA01,Umum,PCS,STRAUSS,,tidak,0,65000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT TAMBAL BAN BISON GG PLASTIK,MBIALA01,MBIALA01,Umum,PCS,BISON,,tidak,0,19000,0,,0,0,3,3,,,1,,,,,,,,,0,0
ALAT TAMBAL BAN TEKIRO GG BESI,MTKRTMBBS,MTKRTMBB,Alat teknik,PCS,TEKIRO,,ya,55275,70000,0,,0,3,0,5,,,1,,,,,,,,,0,0
ALAT TEMBAK LEM TEBAL STRAUSS / FREED,TMBK LEM,MNOALA01,Umum,PCS,,,tidak,0,40000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT TEMBAK LEM TULANG,MALTMBKT,MALTMBKT,Umum,PCS,,,tidak,0,23000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT UKUR CELAH MOLLAR,MMOALA01,MMOALA01,Alat tukang,PCS,MOLLAR,,tidak,0,28000,0,,0,0,1,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 100 (10 PCS),MNOAMP03-PAKET,MPAMB100,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1153,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 120 (10 PCS),MNOAMP04-PAKET,MPAMB120,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1154,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 120 SAB,AMP BLT 120,MSAAMP01,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 150 (10 PCS),MNOAMP05-PAKET,MPAMB150,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1155,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 150 SAB,AMP BLT 150,MSAAMP02,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 180 (10 PCS),MNOAMP06-PAKET,MPAMB180,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1156,10,FIXED_RATIO,,0,0
AMPLAS BULAT 240 (10 PCS),MNOAMP07-PAKET,MPAMB240,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1157,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 400 (10 PCS),AMP BLT 400-PAKET,MPAMB400,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,10,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 400 SAB,AMP BLT 400,MSAAMP03,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 60 (10 PCS),MNOAMP01-PAKET,MNOAMP08,Alat tukang,BKS,,Area 01,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1151,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 60 SAB,AMP BLT 60,MSAAMP04,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 80 (10 PCS),MNOAMP02-PAKET,MNOAMP09,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1152,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 80 SAB-XX,AMP BLT 80,MSAAMP05,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 80 VPR,AMP BLT 80 VPR,MVPAMP01,Umum,PCS,VPR,,tidak,0,265,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 100,MNOAMP03,MNOAMP03,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,310,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 120,MNOAMP04,MNOAMP04,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,346,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 150,MNOAMP05,MNOAMP05,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,339,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 180,MNOAMP06,MNOAMP06,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,280,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 240,MNOAMP07,MNOAMP07,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,324,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 60,MNOAMP01,MNOAMP01,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,325,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 80,MNOAMP02,MNOAMP02,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,376,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 150,AMP DC IGM150,MIGAMP01,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 1500,AMP DC IGM1500,MIGAMP02,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 2000,AMP DC IGM2000,MIGAMP03,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 400,AMP DC IGM400,MIGAMP04,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 600,AMP DC IGM600,MIGAMP05,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 1000,AMP DCTY 1000,MTAAMP04,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
